run: 1,,,,,avg,,,,
2.528E+07,,,,,1.783E+07,,,,
3.164E-01,,,,,5.049E-01,,,,
run: 2,,,,,,,,,
2.594E+07,,,,,,,,,
3.084E-01,,,,,,,,,
run: 3,,,,,,,,,
1.301E+07,,,,,,,,,
6.148E-01,,,,,Matrix Dimension ,Clock Cycles ,Gflops/s,,
run: 4,,,,,1.000E+02,1.783E+07,5.049E-01,,
1.247E+07,,,,,2.000E+02,1.014E+08,6.331E-01,,
6.417E-01,,,,,5.000E+02,1.688E+09,5.923E-01,,
run: 5,,,,,1.000E+03,1.545E+10,5.178E-01,,
1.244E+07,,,,,2.000E+03,2.148E+11,2.979E-01,,
6.433E-01,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,Nominal peak performance ,,,,
,,,,,7.040E+01,,,,
,,,,,Matrix Dimension ,Real floating-point performance (Gflop/s) ,Fraction of Nominal peak performance,,
,,,,,1.000E+02,5.049E-01,7.172E-03,,
,,,,,2.000E+02,6.331E-01,8.99E-03,,
,,,,,5.000E+02,5.923E-01,8.41E-03,,
,,,,,1.000E+03,5.178E-01,7.355E-03,,
,,,,,2.000E+03,2.979E-01,4.232E-03,,
